settlement_date,settlement_period,ssp,net_imbalance_volume,sell_price_adjustment,buy_price_adjustment,price_derivation_code,replacement_price,settlement_datetime,ssp_raw,is_spike,abs_imbalance_volume,price_derivation_code_P,hour,day_of_week,month,week_of_year,quarter,day_of_year,sin_sp,cos_sp,sin_hour,cos_hour,sin_dow,cos_dow,sin_month,cos_month,sin_annual,cos_annual,sin_half_annual,cos_half_annual,is_weekend,is_peak,is_evening_ramp,is_uk_holiday,is_business_day,ssp_lag_1,ssp_lag_2,ssp_lag_48,ssp_lag_96,ssp_lag_336,net_imbalance_volume_lag_1,net_imbalance_volume_lag_48,net_imbalance_volume_lag_336,ssp_roll_mean_6,ssp_roll_std_6,ssp_roll_min_6,ssp_roll_max_6,ssp_roll_mean_48,ssp_roll_std_48,ssp_roll_min_48,ssp_roll_max_48,ssp_roll_mean_336,ssp_roll_std_336,ssp_roll_min_336,ssp_roll_max_336,net_imbalance_volume_roll_mean_6,net_imbalance_volume_roll_std_6,net_imbalance_volume_roll_mean_48,net_imbalance_volume_roll_std_48,ssp_diff_1_48,ssp_diff_48_336
2026-05-04,22,93.4,-175.11999876984126,0.0,0.0,N,93.4,2026-05-04 10:30:00,93.4,False,175.11999876984126,0,10,0,5,19,2,124,0.3826834323650899,-0.9238795325112867,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.8660254037844387,-0.49999999999999983,0.8452490573530633,-0.5343725582809787,-0.9033558023246842,-0.4288919379124841,0,1,0,1,0,92.94,106.91,75.24336457784385,67.73,15.0,-128.6735176948021,-309.61636805555554,-545.8192460714286,113.11644407938473,24.89721605192617,85.18403056637186,153.0,99.12056694050271,22.2491577761995,75.24336457784385,153.0,93.75958589807243,44.15290738538235,-33.29620103284542,197.3311819375,24.111226847880413,94.12398924446252,-83.2942907403913,141.36671034474838,17.69663542215615,60.24336457784385
2026-05-04,23,92.65,-69.26967111111111,0.0,0.0,N,92.65,2026-05-04 11:00:00,92.65,False,69.26967111111111,0,11,0,5,19,2,124,0.258819045102521,-0.9659258262890682,0.258819045102521,-0.9659258262890682,0.0,1.0,0.8660254037844387,-0.49999999999999983,0.8452490573530633,-0.5343725582809787,-0.9033558023246842,-0.4288919379124841,0,1,0,1,0,93.4,92.94,78.04779853525804,-24.0,15.0,-175.11999876984126,-351.5409722222222,-379.91329365079366,103.1831107460514,16.15778637856944,85.18403056637186,129.78463390993647,99.49883017846429,21.98738135599135,77.94,153.0,93.99291923140576,43.94210254016479,-33.29620103284542,197.3311819375,-16.73281277242983,119.89964936064415,-80.49228304693892,138.08008140646024,15.352201464741967,63.04779853525804
2026-05-04,24,93.74,-106.65960645967984,0.0,0.0,N,93.74,2026-05-04 11:30:00,93.74,False,106.65960645967984,0,11,0,5,19,2,124,0.130526192220052,-0.9914448613738104,0.258819045102521,-0.9659258262890682,0.0,1.0,0.8660254037844387,-0.49999999999999983,0.8452490573530633,-0.5343725582809787,-0.9033558023246842,-0.4288919379124841,0,1,0,1,0,92.65,93.4,77.94,-24.0,80.21,-69.26967111111111,-217.3063884722222,-41.111111111111114,100.14477741271806,16.13496702452026,85.18403056637186,129.78463390993647,99.80304270897976,21.78435397525624,77.94,153.0,94.22402042188196,43.729094211219454,-33.29620103284542,197.3311819375,-36.35619583219414,116.6857313482973,-74.61163094045745,132.17539388691998,14.710000000000008,-2.269999999999996
2026-05-04,25,100.0,-16.98482110156682,0.0,0.0,N,100.0,2026-05-04 12:00:00,100.0,False,16.98482110156682,0,12,0,5,19,2,124,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.8660254037844387,-0.49999999999999983,0.8452490573530633,-0.5343725582809787,-0.9033558023246842,-0.4288919379124841,0,1,0,1,0,93.74,92.65,133.0,0.01,80.21,-106.65960645967984,40.30208513888889,-191.7125,94.13733842772865,7.037754556565696,85.18403056637186,106.91,100.13220937564643,21.565238325003918,80.80892529047202,153.0,94.26428827902481,43.72237992669127,-33.29620103284542,197.3311819375,-79.08189367924167,74.09799739366113,-72.30648964852948,130.58916866007038,-39.260000000000005,52.790000000000006
2026-05-04,26,74.3180411061091,-374.63729205761086,0.0,0.0,N,74.64925,2026-05-04 12:30:00,74.3180411061091,False,374.63729205761086,0,12,0,5,19,2,124,-0.13052619222005177,-0.9914448613738104,1.2246467991473532e-16,-1.0,0.0,1.0,0.8660254037844387,-0.49999999999999983,0.8452490573530633,-0.5343725582809787,-0.9033558023246842,-0.4288919379124841,0,1,0,1,0,100.0,93.74,133.0,0.01,80.21,-16.98482110156682,80.39166666666667,-115.22569444444444,96.60666666666668,5.749322278901493,92.65,106.91,99.44470937564643,21.014096083374508,80.80892529047202,153.0,94.32318708854862,43.716720030470256,-33.29620103284542,197.3311819375,-77.68777475557766,75.37875655447202,-73.49996686187231,129.7975002980605,-33.0,52.790000000000006
2026-05-04,27,114.19,24.119531017811255,0.0,0.0,P,114.19,2026-05-04 13:00:00,114.19,False,24.119531017811255,1,13,0,5,19,2,124,-0.2588190451025208,-0.9659258262890683,-0.2588190451025208,-0.9659258262890683,0.0,1.0,0.8660254037844387,-0.49999999999999983,0.8452490573530633,-0.5343725582809787,-0.9033558023246842,-0.4288919379124841,0,1,0,1,0,74.3180411061091,100.0,133.0,55.0,-3.01,-374.63729205761086,53.97666666666667,-282.07208333333335,91.17467351768487,8.704692843642471,74.3180411061091,100.0,98.22216856535702,20.72540113172257,74.3180411061091,153.0,94.30565149660251,43.723579141009466,-33.29620103284542,197.3311819375,-145.22415119910204,124.49876088555051,-82.97973683529476,134.83755907287704,-58.681958893890894,136.01
2026-05-04,28,117.42,74.87449928036598,0.0,0.0,P,117.42,2026-05-04 13:30:00,117.42,False,74.87449928036598,1,13,0,5,19,2,124,-0.38268343236508967,-0.9238795325112868,-0.2588190451025208,-0.9659258262890683,0.0,1.0,0.8660254037844387,-0.49999999999999983,0.8452490573530633,-0.5343725582809787,-0.9033558023246842,-0.4288919379124841,0,1,0,1,0,114.19,74.3180411061091,88.98,55.0,15.0,24.119531017811255,-65.20396820436508,-2.9210864814814816,94.71634018435152,12.885548853987851,74.3180411061091,114.19,97.83029356535702,20.225636123392675,74.3180411061091,153.0,94.65446102041204,43.41128819202651,-33.29620103284542,197.3311819375,-119.75864308033313,142.8370497630738,-83.60176049464592,134.25994869402072,25.209999999999994,73.98
2026-05-04,29,119.0,113.0930862121212,0.0,0.0,P,119.0,2026-05-04 14:00:00,119.0,False,113.0930862121212,1,14,0,5,19,2,124,-0.4999999999999998,-0.8660254037844388,-0.4999999999999998,-0.8660254037844388,0.0,1.0,0.8660254037844387,-0.49999999999999983,0.8452490573530633,-0.5343725582809787,-0.9033558023246842,-0.4288919379124841,0,1,0,1,0,117.42,114.19,80.80892529047202,0.01,15.0,74.87449928036598,-199.0024595238095,-21.522039166666666,98.71967351768485,15.797152890439685,74.3180411061091,117.42,98.42279356535703,20.376857420628443,74.3180411061091,153.0,94.95928244898347,43.20942052924183,-33.29620103284542,197.3311819375,-78.09289340529861,159.00508554798998,-80.68345908871402,136.17705501252888,36.61107470952798,65.80892529047202
2026-05-04,30,123.6,477.4913308547939,0.0,0.0,P,123.6,2026-05-04 14:30:00,123.6,False,477.4913308547939,1,14,0,5,19,2,124,-0.6087614290087207,-0.7933533402912352,-0.4999999999999998,-0.8660254037844388,0.0,1.0,0.8660254037844387,-0.49999999999999983,0.8452490573530633,-0.5343725582809787,-0.9033558023246842,-0.4288919379124841,0,1,0,1,0,119.0,117.42,80.9,0.01,100.0,113.0930862121212,-360.4658952777778,35.108123194444445,103.11134018435153,17.357882855757424,74.3180411061091,119.0,99.21844095513886,20.420032614094694,74.3180411061091,153.0,95.26880625850728,43.00695453316133,-33.29620103284542,197.3311819375,-47.69910051809322,177.39482507943447,-74.1814685525488,137.84802501449275,38.099999999999994,-19.099999999999994
2026-05-04,31,123.6,293.7082264484127,0.0,0.0,P,123.6,2026-05-04 15:00:00,123.6,False,293.7082264484127,1,15,0,5,19,2,124,-0.7071067811865471,-0.7071067811865479,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0.8660254037844387,-0.49999999999999983,0.8452490573530633,-0.5343725582809787,-0.9033558023246842,-0.4288919379124841,0,1,0,1,0,123.6,119.0,80.9,113.0,45.29,477.4913308547939,-390.3808722317516,-180.8926306624379,108.08800685101819,18.38390809210523,74.3180411061091,123.6,100.10802428847218,20.534798351200678,74.3180411061091,153.0,95.33904435374538,43.03396752890386,-33.29620103284542,197.3311819375,49.65938903431907,273.06453993223056,-56.724026341453545,153.04381105384428,42.69999999999999,35.61000000000001
