settlement_date,settlement_period,ssp,sbp,net_imbalance_volume,sell_price_adjustment,buy_price_adjustment
2026-04-14,21,83.24,83.24,-145.5808095689033,0.0,0.0
2026-04-14,22,81.14,81.14,-672.3330667171717,0.0,0.0
2026-04-14,23,80.0,80.0,-331.29887191849815,0.0,0.0
2026-04-14,24,80.0,80.0,-426.2736164145329,0.0,0.0
2026-04-14,25,61.74,61.74,-327.110085814566,0.0,0.0
2026-04-14,26,63.45,63.45,-168.25640250314228,0.0,0.0
2026-04-14,27,50.01,50.01,-488.78678030627583,0.0,0.0
2026-04-14,28,40.95,40.95,-756.2866711869464,0.0,0.0
2026-04-14,29,55.34,55.34,-331.4051128280574,0.0,0.0
2026-04-14,30,71.01,71.01,-384.50614415868455,0.0,0.0
2026-04-14,31,105.0,105.0,90.34068825591139,0.0,0.0
2026-04-14,32,89.55,89.55,-5.891926758087201,0.0,0.0
2026-04-14,33,97.28,97.28,-103.74792100308642,0.0,0.0
2026-04-14,34,120.99,120.99,33.97476255277641,0.0,0.0
2026-04-14,35,119.84,119.84,119.82509147726388,0.0,0.0
2026-04-14,36,124.0,124.0,302.53182869723264,0.0,0.0
2026-04-14,37,124.0,124.0,142.52475578702777,0.0,0.0
2026-04-14,38,125.0097833285088,125.0097833285088,221.69445444444443,0.0,0.0
2026-04-14,39,124.0,124.0,87.50688097222222,0.0,0.0
2026-04-14,40,135.0,135.0,500.2014233333333,0.0,0.0
2026-04-14,41,135.0,135.0,567.5485761682299,0.0,0.0
2026-04-14,42,135.0,135.0,403.1258144755155,0.0,0.0
2026-04-14,43,139.98,139.98,375.11843759656824,0.0,0.0
2026-04-14,44,119.53,119.53,32.56174149556264,0.0,0.0
2026-04-14,45,97.72,97.72,-82.75195194684945,0.0,0.0
2026-04-14,46,119.5,119.5,147.81691018867244,0.0,0.0
2026-04-14,47,101.41178529041383,101.41178529041383,93.53497524160738,0.0,0.0
2026-04-14,48,73.94,73.94,-124.52875323412698,0.0,0.0
2026-04-15,1,70.62797284069518,70.62797284069518,-97.54851639701104,0.0,0.0
2026-04-15,2,53.47,53.47,-92.99188267825011,0.0,0.0
2026-04-15,3,58.0,58.0,-24.01306728113734,0.0,0.0
2026-04-15,4,85.0,85.0,3.5005871111111113,0.0,0.0
2026-04-15,5,87.5,87.5,96.22232641666666,0.0,0.0
2026-04-15,6,97.0,97.0,223.41643505555555,0.0,0.0
2026-04-15,7,98.0,98.0,216.14861305555556,0.0,0.0
2026-04-15,8,95.53,95.53,81.96189927524773,0.0,0.0
2026-04-15,9,111.21,111.21,177.56124050925925,0.0,0.0
2026-04-15,10,107.0,107.0,37.07525142232639,0.0,0.0
2026-04-15,11,71.94,71.94,-143.02058674302262,0.0,0.0
2026-04-15,12,111.67,111.67,76.82794708333333,0.0,0.0
2026-04-15,13,114.45,114.45,494.29031502690293,0.0,0.0
2026-04-15,14,117.0,117.0,723.9439961111111,0.0,0.0
2026-04-15,15,128.9,128.9,1209.011282263793,0.0,0.0
2026-04-15,16,128.8,128.8,1534.971423229508,0.0,0.0
2026-04-15,17,121.85,121.85,381.2147510231416,0.0,0.0
2026-04-15,18,120.0,120.0,154.507971346688,0.0,0.0
2026-04-15,19,88.15,88.15,-201.05263083874422,0.0,0.0
2026-04-15,20,74.34,74.34,-152.05892484307358,0.0,0.0
2026-04-15,21,69.66,69.66,-113.81633428539554,0.0,0.0
2026-04-15,22,63.4,63.4,-237.29941664213294,0.0,0.0
2026-04-15,23,22.937329197662088,22.937329197662088,-328.8717609722222,0.0,0.0
2026-04-15,24,7.82,7.82,-419.8751119298882,0.0,0.0
2026-04-15,25,34.96,34.96,-254.06228735446527,0.0,0.0
2026-04-15,26,64.7,64.7,128.52729607351344,0.0,0.0
2026-04-15,27,72.0,72.0,244.7738013882137,0.0,0.0
2026-04-15,28,112.0,112.0,713.2973851051348,0.0,0.0
2026-04-15,29,113.5,113.5,901.4480020186097,0.0,0.0
2026-04-15,30,113.0,113.0,893.3484804513889,0.0,0.0
2026-04-15,31,114.79,114.79,375.81799098875695,0.0,0.0
2026-04-15,32,84.82,84.82,-219.00711794871796,0.0,0.0
2026-04-15,33,89.43,89.43,-181.49238803418802,0.0,0.0
2026-04-15,34,83.0,83.0,-157.422606875,0.0,0.0
2026-04-15,35,103.93,103.93,-112.9686577902903,0.0,0.0
2026-04-15,36,45.0,45.0,-247.55343173754972,0.0,0.0
2026-04-15,37,66.0,66.0,90.17232570906432,0.0,0.0
2026-04-15,38,104.45,104.45,-123.8199044454876,0.0,0.0
2026-04-15,39,103.6,103.6,-150.5796483478441,0.0,0.0
2026-04-15,40,128.0122680483299,128.0122680483299,240.01613702941066,0.0,0.0
2026-04-15,41,134.4,134.4,305.8984383234127,0.0,0.0
2026-04-15,42,134.4,134.4,238.8466668829603,0.0,0.0
2026-04-15,43,129.0,129.0,311.37602265497077,0.0,0.0
2026-04-15,44,122.85,122.85,351.3254812332401,0.0,0.0
2026-04-15,45,118.9,118.9,21.034387841527074,0.0,0.0
2026-04-15,46,116.8,116.8,310.7025722978552,0.0,0.0
